City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
188,San Quintin,MX,30.4833,-115.95,57.33,60,14,14.43,few clouds,2021-01-24 23:39:21
189,Kaya,BF,13.0917,-1.0844,69.13,20,26,10.07,scattered clouds,2021-01-24 23:39:22
190,Hanstholm,DK,57.1167,8.6167,35.01,64,100,12.57,overcast clouds,2021-01-24 23:39:22
191,Poum,NC,-20.2333,164.0167,81.09,78,93,16.93,overcast clouds,2021-01-24 23:39:22
192,Kangaatsiaq,GL,68.3065,-53.4641,10.02,84,0,4.63,clear sky,2021-01-24 23:39:22
193,Hobyo,SO,5.3505,48.5268,77.31,65,91,21.07,overcast clouds,2021-01-24 23:39:22
194,Broome,US,42.2506,-75.833,19.0,67,1,5.75,clear sky,2021-01-24 23:36:52
195,Beloha,MG,-25.1667,45.05,75.83,88,28,9.57,scattered clouds,2021-01-24 23:39:23
196,Tocopilla,CL,-22.092,-70.1979,69.85,62,8,8.66,clear sky,2021-01-24 23:36:34
197,Ahvaz,IR,31.3203,48.6693,48.2,53,0,2.3,clear sky,2021-01-24 23:36:44
198,Pevek,RU,69.7008,170.3133,-18.62,88,99,7.7,overcast clouds,2021-01-24 23:39:23
199,Jiazi,CN,22.8779,116.067,59.13,77,98,14.07,overcast clouds,2021-01-24 23:39:24
200,Chepareria,KE,1.3077,35.2039,60.71,65,47,4.63,scattered clouds,2021-01-24 23:39:24
201,New Norfolk,AU,-42.7826,147.0587,90.0,22,56,1.99,broken clouds,2021-01-24 23:36:14
202,Grand-Lahou,CI,5.1367,-5.0242,78.89,88,0,10.29,clear sky,2021-01-24 23:39:24
203,Batagay-Alyta,RU,67.8006,130.4114,-35.52,76,89,0.67,overcast clouds,2021-01-24 23:39:24
204,Shwebo,MM,22.5667,95.7,59.0,75,0,2.89,clear sky,2021-01-24 23:39:24
205,Kasempa,ZM,-13.4584,25.8338,63.36,95,100,6.87,light rain,2021-01-24 23:39:25
206,Bolobo,CD,-2.1667,16.2333,73.31,87,100,1.68,light rain,2021-01-24 23:39:25
207,Yuanping,CN,38.7153,112.7575,27.68,96,100,1.3,overcast clouds,2021-01-24 23:39:25
